school_ID,degee_moment_1,degee_moment_2,degee_moment_3,avg_clustering,transitivity,avg_shortest_path_length,diameter,n,m
1,6.3768115942028984,49.01449275362319,427.94202898550725,0.20852104817385558,0.40584636301835486,2.955242966751918,6,69,220
2,6.647619047619048,60.32380952380952,678.1904761904761,0.09120806698149388,0.3502484031227821,3.1941747572815533,7,105,349
3,5.6875,41.5625,343.1875,0.18496344358413652,0.45993031358885017,2.3850806451612905,5,32,91
4,8.08540925266904,81.91459074733096,955.7651245551601,0.04519109394734727,0.21748770847392268,3.363980681240468,7,281,1136
5,9.299363057324841,102.36942675159236,1261.7707006369426,0.06209509871067886,0.27265261428962495,2.848276988404377,6,157,730
6,7.0,62.75925925925926,664.8888888888889,0.1178790470347857,0.35868482231816673,3.026479750778816,6,108,378
7,7.709750566893424,77.18367346938776,913.4104308390023,0.043553511438369906,0.21169789150727855,3.861293640963198,8,441,1700
8,7.931372549019608,78.02941176470588,889.1078431372549,0.05309394173082566,0.26895104895104893,3.369651308799382,8,204,809
9,8.096774193548388,80.49193548387096,924.5483870967741,0.08575787438934337,0.2937506962236828,3.4326759827608724,7,248,1004
10,8.244837758112094,88.44837758112094,1145.5634218289085,0.04846164528765732,0.22067747986317995,4.139728020984475,11,678,2795
11,7.737226277372263,75.98053527980535,881.2992700729927,0.03437323988970564,0.18011979463776384,3.8684232389769155,8,411,1590
12,9.655765920826163,114.09294320137694,1560.041308089501,0.04774612311291691,0.23988925145851875,3.6241260608938215,8,581,2805
13,7.18960244648318,67.92966360856269,766.6666666666666,0.049743813386811456,0.19997986104118418,4.307134846814245,9,654,2351
14,9.565836298932384,113.79715302491103,1615.1850533807828,0.035009237419088526,0.2145856806309536,3.6485432089367613,7,562,2688
15,8.269303201506592,89.05273069679849,1160.6817325800378,0.036168676153960355,0.17099496456546065,4.087812904359494,9,1062,4391
16,8.899742930591259,99.8508997429306,1298.1439588688945,0.02931399682193218,0.19027699265121537,3.964708373448733,10,778,3462
17,8.763546798029557,97.26600985221675,1277.4039408866995,0.028899199053774385,0.14616497829232997,3.9774729374366697,9,1218,5337
18,8.373239436619718,84.66901408450704,971.2676056338029,0.06271947458761128,0.21515599040059075,3.251828995172448,6,284,1189
19,8.520325203252032,87.95528455284553,1036.7642276422764,0.050402221321397274,0.2235300138171025,3.81031742089315,9,492,2096
20,8.956043956043956,98.72967032967033,1262.2769230769231,0.03146576405974321,0.19051582735574216,3.969213844461369,10,910,4075
21,8.122015915119363,82.15384615384616,961.1352785145889,0.07739986573388007,0.2792547474023647,3.7273265985665107,8,377,1531
22,7.980456026058632,83.96091205211727,1090.9218241042345,0.07919153235246126,0.2658406927891623,4.263614774878855,10,614,2450
23,8.686656671664167,93.30434782608695,1154.3088455772113,0.0437669438940886,0.21282778171509567,3.828995412203808,8,667,2897
24,7.045720984759671,64.01406799531067,686.9308323563893,0.05965969685350331,0.21669341894060995,5.160769051270084,12,853,3005
25,6.461152882205514,54.40350877192982,548.468671679198,0.06388390332244949,0.19007789220555177,4.514841732043445,10,798,2578
26,7.499092558983666,71.92377495462794,807.7640653357532,0.08741538510980372,0.26942362950025356,4.558581092229005,10,551,2066
27,4.347305389221557,23.343028229255776,145.71428571428572,0.11252258156067989,0.2642529046203729,6.554541944203108,16,1169,2541
28,8.288224956063269,89.41652021089631,1174.4182776801406,0.02787135448774681,0.1721545860231359,4.203237264999689,10,1138,4716
29,8.906854130052723,99.81019332161686,1305.1177504393672,0.061824889831759586,0.26146469723919263,3.8653803311963166,9,569,2534
30,7.632311977715878,75.28690807799443,901.891364902507,0.04735631208712282,0.19145256916996048,3.973116086448099,10,718,2740
31,4.388814913448735,28.66311584553928,237.00665778961385,0.08318200078295715,0.24947888096544157,7.469496803059389,16,751,1648
32,8.049122807017543,84.58947368421053,1075.7473684210527,0.024316658330256122,0.16365636747043183,3.9991744134207354,9,855,3441
33,4.871665827881228,33.698037242073475,293.9134373427277,0.05264390425336584,0.13795872760920425,5.486454162603454,14,1987,4840
34,7.154947106409459,67.56813939016801,768.0273802115744,0.021083880481340057,0.12552016810184993,4.7126047808826845,11,1607,5749
35,7.405405405405405,72.78730904817861,866.9917743830787,0.0338648861929256,0.13199137311286843,4.015328679062694,9,851,3151
36,7.415970287836583,72.02878365831012,831.2098421541318,0.04187727695594072,0.17826349370581135,4.915449976582172,11,2154,7987
37,3.7640750670241285,19.924932975871315,134.21983914209116,0.06401781501391768,0.1672196416721964,5.413063549442123,13,373,702
38,7.389635316698657,72.48752399232245,902.3339731285988,0.02896877606487713,0.15939379643825924,3.8798612136424038,9,521,1925
39,7.905146316851665,79.57416750756812,944.6074672048436,0.03196613508588201,0.14657017346249154,4.095028473605143,10,991,3917
40,8.516483516483516,95.17982017982018,1307.8671328671328,0.02161884046998023,0.14431123919308358,4.382691699187849,10,2002,8525
41,8.377906976744185,89.65213178294573,1145.7732558139535,0.01869368580475819,0.13970789865871833,4.485328433417128,9,2064,8646
42,7.0106609808102345,68.7590618336887,836.2174840085288,0.014991289725349171,0.10283149171270718,4.399206131946346,11,1407,4932
43,6.387332521315469,54.20219244823386,547.8380024360536,0.03148832818894883,0.13457815365803955,4.897761099960245,11,1642,5244
44,9.043478260869565,103.46051464063886,1402.9174800354924,0.025581221211676393,0.16025110893917752,4.159380363466724,10,1127,5096
45,5.882478632478633,52.15384615384615,595.6709401709402,0.03331830381507934,0.1414453936735165,4.9301893027427655,12,936,2753
46,7.569453587886768,73.90388413429888,864.5898617511521,0.03131796244815432,0.14070780651436057,4.2687747035573125,12,1519,5749
47,8.889340101522842,97.80304568527919,1246.9725888324874,0.022006603700572076,0.1685316282256223,4.904597416532541,11,985,4378
48,7.468152866242038,74.38535031847134,902.2388535031847,0.04072641982892711,0.19336569579288027,5.836077054411328,15,1884,7035
49,8.235525797558093,86.41354864119732,1077.8400945254036,0.022183222245106254,0.1418884198011023,4.559388278862356,10,2539,10455
50,4.887262079062958,35.15959004392386,320.3484626647145,0.04083749490064435,0.15989553105049334,5.249870699101469,12,683,1669
51,6.314567614625653,52.15206035983749,514.0475914103308,0.03975430217908532,0.16242497910810605,5.0309910261333135,11,1723,5440
52,5.201376936316695,40.40963855421687,403.7418244406196,0.05755384074624414,0.20766523269456394,5.465795339775655,15,581,1511
53,5.840537944284342,47.15465898174832,476.7108549471662,0.046374117964977354,0.17550223214285715,5.048688550631196,12,1041,3040
54,4.779761904761905,31.696428571428573,261.0654761904762,0.07550736455592258,0.23485183547103053,4.758491256980683,12,336,803
55,6.251121076233184,54.062780269058294,585.3587443946188,0.05744264513156583,0.21834552616769837,4.177485612022858,11,446,1394
56,5.845766974015088,49.56412405699916,556.558256496228,0.034414333785354675,0.17382467980673363,6.212104483834333,16,1193,3487
57,6.543440233236152,57.25364431486881,608.667055393586,0.05692071977955219,0.18599944807285437,5.554046808942262,15,1715,5611
58,6.8533333333333335,62.31179487179487,673.8871794871795,0.052256740111293457,0.1945184198845983,4.657039718857167,10,975,3341
59,6.482939632545932,56.59667541557305,600.1994750656168,0.06310055152926257,0.22332402234636872,5.26748511380797,13,1143,3705
60,5.070567986230637,35.51233505450373,305.3080895008606,0.06664505122844712,0.19393139841688653,5.9986182542371145,16,1743,4419
61,5.219790675547098,36.50047573739296,311.7164605137964,0.054348272905189995,0.20385691689986615,5.351106833493744,12,1051,2743
62,5.775510204081633,45.714285714285715,428.9591836734694,0.10211743315079291,0.3479816044966786,3.4486842105263156,8,98,283
63,8.224137931034482,86.17241379310344,1079.3275862068965,0.027172403063722927,0.16014156160141563,3.8166805976604246,8,696,2862
64,6.690518783542039,55.98926654740608,545.8640429338104,0.03386396252731831,0.19116046157195732,4.240380765405629,10,559,1870
65,8.897515527950311,100.87267080745342,1351.0062111801242,0.03676213625100012,0.18891815235008103,3.6454459395496652,8,644,2865
66,4.06140350877193,24.763157894736842,197.87719298245614,0.08348361315665623,0.23072033898305086,5.747111014031475,14,456,926
67,5.563531945441493,40.7264895908112,358.82699210337404,0.042185352334686996,0.1854558817524805,5.493449635859018,13,1393,3875
68,8.239641657334827,86.04031354983202,1053.3079507278835,0.02649145513198036,0.17298059761644308,4.190342879481456,9,893,3679
69,9.052631578947368,96.42105263157895,1154.1842105263158,0.1399754096871172,0.3713855421686747,2.4789473684210526,5,76,344
70,9.675675675675675,105.67567567567568,1260.027027027027,0.14098180745268923,0.41131756756756754,2.5616438356164384,6,74,358
71,7.943181818181818,79.2784090909091,924.4602272727273,0.06508234136581831,0.2843488649940263,3.7750097125097124,8,352,1398
72,8.35049019607843,87.05882352941177,1061.361519607843,0.03144479575973958,0.16745554759754616,4.414421132314228,10,1632,6814
73,5.115853658536586,37.52439024390244,347.7469512195122,0.07990223434915593,0.1885230479774224,4.73066205843648,11,656,1678
74,8.845070422535212,98.08651911468813,1269.3400402414486,0.034961725102337166,0.16537776475097513,4.051722216481163,10,994,4396
75,8.604651162790697,83.53488372093024,884.7441860465116,0.09705682870505987,0.36685288640595903,2.071982281284607,4,43,185
76,8.48,80.72,827.6,0.26504258587285223,0.5813953488372093,1.7933333333333332,3,25,106
77,6.175925925925926,49.60648148148148,474.25925925925924,0.07783710830750049,0.23153181963543332,4.206266601615439,10,432,1334
78,6.957322175732218,62.02175732217573,652.7079497907949,0.035905953502959,0.16777605543904442,4.494372080202981,11,1195,4157
79,5.875420875420875,47.51851851851852,484.4915824915825,0.06113019831365014,0.21127102199223805,4.8697883841222795,12,594,1745
80,5.883720930232558,46.603100775193795,449.84186046511627,0.04387164701839084,0.15100517819067927,4.875050065852382,13,1290,3795
81,8.696216216216216,96.91891891891892,1264.4345945945945,0.029229968663922738,0.1574884199691199,3.8328305716848416,9,925,4022
82,5.657728706624606,42.89905362776025,393.34858044164037,0.051761361402989224,0.18779382491211724,5.087460443536695,12,1268,3587
83,5.120458891013384,36.64627151051625,331.3919694072658,0.05375711075838971,0.1712760795730228,7.454972584134011,19,1569,4017
